epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.583,0.86576,0.98148,0.95796,0.75911,0.73395,0.80496,0.61569,0.68046,0.59718,0.88207,0.00332974,0.00332974,0.00332974
2,672.248,0.76243,0.67046,0.91116,0.79085,0.81335,0.8641,0.6693,0.67053,0.55701,0.88417,0.00661909,0.00661909,0.00661909
3,991.15,0.77175,0.6501,0.91667,0.81522,0.82343,0.87396,0.67096,0.66912,0.53874,0.88979,0.00986445,0.00986445,0.00986445
4,1318.22,0.74824,0.6138,0.9149,0.79496,0.8294,0.8727,0.68746,0.62861,0.52697,0.88508,0.009802,0.009802,0.009802
5,1626.51,0.71357,0.57513,0.90608,0.83701,0.84278,0.89222,0.71152,0.61148,0.47652,0.88003,0.009736,0.009736,0.009736
6,1934.52,0.69074,0.54933,0.90039,0.81334,0.86688,0.89487,0.71965,0.59544,0.45897,0.87653,0.00967,0.00967,0.00967
7,2242.19,0.67363,0.52834,0.89676,0.82849,0.85907,0.89603,0.72433,0.58432,0.45251,0.87258,0.009604,0.009604,0.009604
8,2571.09,0.66106,0.51684,0.89283,0.84024,0.85469,0.90331,0.72806,0.57998,0.44188,0.87172,0.009538,0.009538,0.009538
9,2903.72,0.64774,0.50465,0.88832,0.83506,0.86784,0.91056,0.73657,0.57013,0.43629,0.86843,0.009472,0.009472,0.009472
10,3238.04,0.64129,0.49177,0.88808,0.84155,0.85464,0.90565,0.73641,0.56976,0.43572,0.8681,0.009406,0.009406,0.009406
11,3574,0.63492,0.48818,0.88554,0.86257,0.85594,0.91085,0.74631,0.56104,0.42383,0.86519,0.00934,0.00934,0.00934
12,3917.17,0.62369,0.47527,0.88346,0.82441,0.87413,0.90795,0.74318,0.55678,0.41828,0.86743,0.009274,0.009274,0.009274
13,4258.15,0.61941,0.47229,0.882,0.84759,0.8656,0.90924,0.7474,0.54892,0.40683,0.86404,0.009208,0.009208,0.009208
14,307.348,0.61538,0.46611,0.88197,0.83476,0.88,0.91043,0.74843,0.54828,0.40878,0.86424,0.009142,0.009142,0.009142
15,608.508,0.61107,0.46046,0.88085,0.8469,0.86711,0.91354,0.75485,0.54696,0.404,0.86365,0.009076,0.009076,0.009076
16,915.913,0.6052,0.4565,0.87878,0.83667,0.88891,0.91508,0.75483,0.5428,0.3991,0.86229,0.00901,0.00901,0.00901
17,1225.59,0.59926,0.44838,0.8763,0.85219,0.87762,0.91842,0.76005,0.54274,0.39901,0.8638,0.008944,0.008944,0.008944
18,1535.29,0.5977,0.4433,0.87582,0.84166,0.88355,0.91858,0.7589,0.54052,0.39223,0.86153,0.008878,0.008878,0.008878
19,1827.19,0.59299,0.44008,0.87504,0.85036,0.88543,0.91791,0.75946,0.53604,0.38784,0.86213,0.008812,0.008812,0.008812
20,2119.77,0.59057,0.43623,0.87502,0.86582,0.8719,0.92215,0.76368,0.5355,0.38318,0.86085,0.008746,0.008746,0.008746
21,2422.02,0.58737,0.43295,0.87265,0.85642,0.88069,0.91681,0.75984,0.53488,0.38412,0.85897,0.00868,0.00868,0.00868
22,2714.08,0.5827,0.4288,0.87105,0.8635,0.87271,0.9233,0.77003,0.53065,0.3836,0.8599,0.008614,0.008614,0.008614
23,3020.95,0.58221,0.42346,0.87244,0.85686,0.87658,0.92068,0.76705,0.52986,0.38336,0.86059,0.008548,0.008548,0.008548
24,3320.46,0.58005,0.42419,0.86989,0.85529,0.87573,0.91952,0.76504,0.52993,0.38289,0.85943,0.008482,0.008482,0.008482
25,3612.14,0.57449,0.41461,0.86912,0.86857,0.86622,0.9186,0.76811,0.5266,0.37583,0.85825,0.008416,0.008416,0.008416
26,3903.78,0.57372,0.41601,0.86845,0.87246,0.87586,0.92321,0.77208,0.52604,0.37597,0.85884,0.00835,0.00835,0.00835
27,4198.26,0.57619,0.4209,0.87071,0.87271,0.86803,0.92169,0.76614,0.52612,0.37439,0.85852,0.008284,0.008284,0.008284
28,4490.9,0.57291,0.4167,0.86765,0.85981,0.8832,0.92372,0.77173,0.52477,0.37182,0.85805,0.008218,0.008218,0.008218
29,4782.81,0.57124,0.41429,0.86736,0.86631,0.8772,0.92128,0.76933,0.52044,0.36791,0.85637,0.008152,0.008152,0.008152
30,5074.81,0.56817,0.41246,0.86795,0.86713,0.87818,0.92079,0.76956,0.51975,0.36886,0.85869,0.008086,0.008086,0.008086
31,5367.63,0.56571,0.40786,0.86684,0.87301,0.87859,0.92871,0.77505,0.51696,0.36445,0.85522,0.00802,0.00802,0.00802
32,5658.56,0.56336,0.40566,0.86737,0.88617,0.86818,0.92726,0.77457,0.51752,0.36666,0.85745,0.007954,0.007954,0.007954
33,5956.37,0.56376,0.40614,0.86717,0.879,0.87519,0.92574,0.77577,0.51476,0.36261,0.8552,0.007888,0.007888,0.007888
34,6248.8,0.56233,0.4048,0.86569,0.85812,0.88323,0.92452,0.7719,0.51516,0.36281,0.85651,0.007822,0.007822,0.007822
35,6541.24,0.56034,0.40018,0.86701,0.87686,0.88218,0.92799,0.77949,0.51234,0.3596,0.8568,0.007756,0.007756,0.007756
36,6836.46,0.55873,0.39963,0.86702,0.87524,0.88397,0.92646,0.77802,0.51178,0.35801,0.85689,0.00769,0.00769,0.00769
37,7131.17,0.55734,0.39712,0.86524,0.88484,0.8744,0.92936,0.78083,0.51005,0.35821,0.85452,0.007624,0.007624,0.007624
38,7429.89,0.55449,0.39488,0.86391,0.87358,0.88835,0.92799,0.78038,0.50976,0.35651,0.85458,0.007558,0.007558,0.007558
39,7720.62,0.55291,0.39372,0.86367,0.87963,0.87351,0.92817,0.78215,0.50954,0.35654,0.85608,0.007492,0.007492,0.007492
40,8013.52,0.55296,0.39326,0.86368,0.88006,0.88111,0.92898,0.7827,0.50927,0.35474,0.85325,0.007426,0.007426,0.007426
41,8307.66,0.55099,0.39206,0.86278,0.88058,0.87971,0.92899,0.78339,0.50703,0.3509,0.85431,0.00736,0.00736,0.00736
42,8597.92,0.54936,0.38491,0.86302,0.88356,0.86732,0.92965,0.78256,0.5056,0.35021,0.85465,0.007294,0.007294,0.007294
43,8895.39,0.55081,0.38788,0.86578,0.87799,0.88005,0.9311,0.78548,0.50451,0.35048,0.85281,0.007228,0.007228,0.007228
44,9190.84,0.54587,0.38633,0.86314,0.87094,0.89099,0.92986,0.78481,0.50453,0.34832,0.85297,0.007162,0.007162,0.007162
45,9485.88,0.54736,0.38578,0.8618,0.88573,0.87125,0.93033,0.78732,0.50372,0.34887,0.85084,0.007096,0.007096,0.007096
46,9781.84,0.54519,0.38148,0.86074,0.86749,0.89178,0.92981,0.78624,0.50258,0.34572,0.85173,0.00703,0.00703,0.00703
47,326.441,0.53989,0.37562,0.8598,0.87955,0.88277,0.92957,0.78619,0.50117,0.34664,0.85167,0.006964,0.006964,0.006964
48,646.359,0.54132,0.37568,0.86124,0.87616,0.88661,0.92948,0.78637,0.50076,0.34387,0.85068,0.006898,0.006898,0.006898
49,967.083,0.53941,0.37563,0.86047,0.88025,0.88337,0.92912,0.7858,0.49956,0.34559,0.85245,0.006832,0.006832,0.006832
50,1288.21,0.5364,0.37078,0.85947,0.89368,0.8763,0.93047,0.78918,0.49988,0.34508,0.85137,0.006766,0.006766,0.006766
51,1600.09,0.53759,0.37163,0.85975,0.89205,0.87796,0.93042,0.78908,0.49866,0.34364,0.8529,0.0067,0.0067,0.0067
52,1905.73,0.53607,0.36964,0.85857,0.88978,0.88136,0.92943,0.79021,0.49666,0.3421,0.85115,0.006634,0.006634,0.006634
53,2206.73,0.53505,0.3687,0.8602,0.88187,0.88606,0.93152,0.79291,0.49734,0.34318,0.85362,0.006568,0.006568,0.006568
54,2502.26,0.53401,0.36679,0.85843,0.87982,0.88681,0.93115,0.78924,0.49571,0.34121,0.85013,0.006502,0.006502,0.006502
55,2797.35,0.53194,0.36568,0.85723,0.89431,0.87623,0.93286,0.79434,0.4952,0.34109,0.85084,0.006436,0.006436,0.006436
56,3092.24,0.53126,0.36263,0.85882,0.88428,0.88442,0.93123,0.79307,0.49487,0.34151,0.84965,0.00637,0.00637,0.00637
57,3390.24,0.53144,0.36361,0.85681,0.88618,0.88105,0.92884,0.79107,0.49432,0.34098,0.8496,0.006304,0.006304,0.006304
