wave,priority_rank,tier,case_id,view_code,stem,duration_sec,pose_track_count,actions_count,event_queries_count,verified_count,verified_p_match_mean,align_avg_candidates,risk_tags,attention,info_score,video_path
wave1,1,high_info,teacher__0003,teacher,0003,48.833,5,44,10,10,0.4509,5.2,long_clip;dense_events,,39.3,data/智慧课堂学生行为数据集/教师视角/0003.mp4
wave1,2,high_info,top1__0003,top1,0003,15.033,14,17,11,11,0.4822,8.0,dense_events,,37.8,data/智慧课堂学生行为数据集/斜上方视角1/0003.mp4
wave1,3,high_info,teacher__0002,teacher,0002,15.133,4,10,10,10,0.4785,3.7,dense_events;low_tracks,,32.4,data/智慧课堂学生行为数据集/教师视角/0002.mp4
wave1,4,medium_info,top1__0002,top1,0002,12.767,14,31,7,7,0.4819,8.0,normal,,28.6,data/智慧课堂学生行为数据集/斜上方视角1/0002.mp4
wave1,5,medium_info,front__002,front,002,7.6,12,26,3,3,0.5402,8.0,normal,,15.4,data/智慧课堂学生行为数据集/正方视角/002.mp4
wave1,8,medium_info,top2__250489,top2,250489,5.6,14,23,2,2,0.4836,8.0,normal,,12.0,data/智慧课堂学生行为数据集/斜上方视角2/250489.mp4
wave1,9,medium_info,rear__0002,rear,0002,3.0,13,13,2,2,0.4427,8.0,normal,,9.9,data/智慧课堂学生行为数据集/后方视角/0002.mp4
wave2,6,medium_info,teacher__0004,teacher,0004,12.567,4,9,4,4,0.5097,4.0,low_tracks,,14.2,data/智慧课堂学生行为数据集/教师视角/0004.mp4
wave2,7,medium_info,front__003,front,003,3.88,10,11,3,3,0.5376,8.0,normal,,12.2,data/智慧课堂学生行为数据集/正方视角/003.mp4
wave2,10,medium_info,top2__250286,top2,250286,4.0,12,13,2,2,0.6714,8.0,normal,,9.8,data/智慧课堂学生行为数据集/斜上方视角2/250286.mp4
wave2,11,medium_info,front__004,front,004,4.68,11,13,2,2,0.542,8.0,normal,,9.7,data/智慧课堂学生行为数据集/正方视角/004.mp4
wave2,12,medium_info,rear__0004,rear,0004,3.033,11,17,1,1,0.5049,8.0,normal,,7.5,data/智慧课堂学生行为数据集/后方视角/0004.mp4
wave3,13,low_info,top1__0004,top1,0004,3.033,14,14,1,1,0.4855,8.0,normal,,7.2,data/智慧课堂学生行为数据集/斜上方视角1/0004.mp4
wave3,14,low_info,top2__250388,top2,250388,5.067,12,14,1,1,0.4982,8.0,normal,,7.0,data/智慧课堂学生行为数据集/斜上方视角2/250388.mp4
wave3,15,low_info,rear__0003,rear,0003,3.1,10,10,1,1,0.498,8.0,normal,,6.0,data/智慧课堂学生行为数据集/后方视角/0003.mp4
