case_id,view,view_code,selected_order,video_path,rel_video_path,duration_if_available,file_size_bytes,has_raw_video,candidate_for_pipeline,candidate_for_gold_annotation,candidate_for_demo,exclusion_reason
front__001,正方视角,front,1,data/智慧课堂学生行为数据集/正方视角/001.mp4,正方视角/001.mp4,16.32,1247600,true,true,true,true,
front__002,正方视角,front,2,data/智慧课堂学生行为数据集/正方视角/002.mp4,正方视角/002.mp4,7.6,388072,true,true,true,false,
front__003,正方视角,front,3,data/智慧课堂学生行为数据集/正方视角/003.mp4,正方视角/003.mp4,3.88,205423,true,true,true,false,
front__004,正方视角,front,4,data/智慧课堂学生行为数据集/正方视角/004.mp4,正方视角/004.mp4,4.68,228970,true,true,true,false,
rear__0001,后方视角,rear,1,data/智慧课堂学生行为数据集/后方视角/0001.mp4,后方视角/0001.mp4,9.233,978698,true,true,true,true,
rear__0002,后方视角,rear,2,data/智慧课堂学生行为数据集/后方视角/0002.mp4,后方视角/0002.mp4,3,144287,true,true,true,false,
rear__0003,后方视角,rear,3,data/智慧课堂学生行为数据集/后方视角/0003.mp4,后方视角/0003.mp4,3.1,142214,true,true,true,false,
rear__0004,后方视角,rear,4,data/智慧课堂学生行为数据集/后方视角/0004.mp4,后方视角/0004.mp4,3.033,132282,true,true,true,false,
teacher__0001,教师视角,teacher,1,data/智慧课堂学生行为数据集/教师视角/0001.mp4,教师视角/0001.mp4,1.7,107094,true,true,true,true,
teacher__0002,教师视角,teacher,2,data/智慧课堂学生行为数据集/教师视角/0002.mp4,教师视角/0002.mp4,15.133,680555,true,true,true,false,
teacher__0003,教师视角,teacher,3,data/智慧课堂学生行为数据集/教师视角/0003.mp4,教师视角/0003.mp4,48.833,2144889,true,true,true,false,
teacher__0004,教师视角,teacher,4,data/智慧课堂学生行为数据集/教师视角/0004.mp4,教师视角/0004.mp4,12.567,505089,true,true,true,false,
top1__0001,斜上方视角1,top1,1,data/智慧课堂学生行为数据集/斜上方视角1/0001.mp4,斜上方视角1/0001.mp4,3.1,173753,true,true,true,true,
top1__0002,斜上方视角1,top1,2,data/智慧课堂学生行为数据集/斜上方视角1/0002.mp4,斜上方视角1/0002.mp4,12.767,611245,true,true,true,false,
top1__0003,斜上方视角1,top1,3,data/智慧课堂学生行为数据集/斜上方视角1/0003.mp4,斜上方视角1/0003.mp4,15.033,634377,true,true,true,false,
top1__0004,斜上方视角1,top1,4,data/智慧课堂学生行为数据集/斜上方视角1/0004.mp4,斜上方视角1/0004.mp4,3.033,151879,true,true,true,false,
top2__250184,斜上方视角2,top2,1,data/智慧课堂学生行为数据集/斜上方视角2/250184.mp4,斜上方视角2/250184.mp4,25.367,1940995,true,true,true,true,
top2__250286,斜上方视角2,top2,2,data/智慧课堂学生行为数据集/斜上方视角2/250286.mp4,斜上方视角2/250286.mp4,4,263758,true,true,true,false,
top2__250388,斜上方视角2,top2,3,data/智慧课堂学生行为数据集/斜上方视角2/250388.mp4,斜上方视角2/250388.mp4,5.067,329573,true,true,true,false,
top2__250489,斜上方视角2,top2,4,data/智慧课堂学生行为数据集/斜上方视角2/250489.mp4,斜上方视角2/250489.mp4,5.6,387813,true,true,true,false,
