case_id,view_code,duration_sec,status,elapsed_sec,timeline_chart_exists,pose_track_count,pose_frame_count,pose_person_entries,uq_rows,actions_count,actions_raw_count,actions_behavior_count,actions_behavior_aug_count,actions_used_for_align,objects_rows,objects_det_count,behavior_det_rows,behavior_det_count,transcript_count,transcript_placeholder,event_queries_count,align_events,align_events_with_candidates,align_avg_candidates,verified_count,verified_p_match_mean,attention,output_dir
front__090,front,3.333,ok,4.38,True,12,100,1186,100,12,12,30,42,actions.behavior_aug.jsonl,100,1007,100,3000,1,False,1,1,1,8.0,1,0.5414,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/front/front__090
front__177,front,1.5,ok,2.62,True,11,45,495,45,11,11,30,41,actions.behavior_aug.jsonl,45,550,45,1350,1,False,1,1,1,8.0,1,0.5416,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/front/front__177
front__23081,front,25.533,ok,2.7,True,16,766,9970,766,108,108,121,229,actions.behavior_aug.jsonl,766,7956,766,20540,10,False,10,10,10,8.0,10,0.5416,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/front/front__23081
front__28646,front,3.2,ok,2.77,True,12,96,1152,96,17,17,34,51,actions.behavior_aug.jsonl,96,467,96,2978,2,False,2,2,2,8.0,2,0.5176,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/front/front__28646
front__35288,front,2.04,ok,2.74,True,3,51,136,51,3,3,88,91,actions.behavior_aug.jsonl,51,967,51,2390,1,False,1,1,1,8.0,1,0.5373,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/front/front__35288
front__50138,front,4.4,ok,2.67,True,7,132,894,132,7,7,37,44,actions.behavior_aug.jsonl,132,1251,132,4123,1,False,1,1,1,8.0,1,0.5398,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/front/front__50138
rear__0499,rear,2.8,ok,2.8,True,13,84,1070,84,25,25,6,31,actions.behavior_aug.jsonl,84,1019,84,97,1,True,1,1,1,8.0,1,0.5749,asr_placeholder,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/rear/rear__0499
rear__154721,rear,3.067,ok,28.03,True,12,92,1062,92,17,17,6,23,actions.behavior_aug.jsonl,0,0,70,103,1,False,1,1,1,8.0,1,0.5087,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/rear/rear__154721
rear__258208,rear,20.233,ok,2.91,True,15,607,8150,607,105,105,7,112,actions.behavior_aug.jsonl,571,1314,22,22,1,False,1,1,1,8.0,1,0.4802,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/rear/rear__258208
rear__282888,rear,11.96,ok,2.59,True,8,299,2273,299,47,47,34,81,actions.behavior_aug.jsonl,296,868,274,418,1,False,1,1,1,8.0,1,0.5436,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/rear/rear__282888
