case_id,view_code,duration_sec,status,elapsed_sec,timeline_chart_exists,pose_track_count,pose_frame_count,pose_person_entries,uq_rows,actions_count,actions_raw_count,actions_behavior_count,actions_behavior_aug_count,actions_used_for_align,objects_rows,objects_det_count,behavior_det_rows,behavior_det_count,transcript_count,transcript_placeholder,event_queries_count,align_events,align_events_with_candidates,align_avg_candidates,verified_count,verified_p_match_mean,attention,output_dir
front__001,front,0.0,ok,2.56,True,11,408,3294,408,75,75,0,0,actions.jsonl,82,1480,0,0,1,False,1,1,1,8.0,1,0.5263,,output/智慧课堂学生行为数据集/real_pilot/front/front__001
front__002,front,0.0,ok,2.55,True,12,190,1949,190,26,26,0,0,actions.jsonl,38,458,0,0,3,False,3,3,3,8.0,3,0.5402,,output/智慧课堂学生行为数据集/real_pilot/front/front__002
front__003,front,0.0,ok,2.54,True,10,97,953,97,11,11,0,0,actions.jsonl,20,293,0,0,3,False,3,3,3,8.0,3,0.5376,,output/智慧课堂学生行为数据集/real_pilot/front/front__003
front__004,front,0.0,ok,2.55,True,11,117,1221,117,13,13,0,0,actions.jsonl,24,370,0,0,2,False,2,2,2,8.0,2,0.542,,output/智慧课堂学生行为数据集/real_pilot/front/front__004
rear__0001,rear,0.0,ok,22.81,True,15,277,2874,277,80,80,0,0,actions.jsonl,0,0,0,0,3,False,3,3,3,8.0,3,0.51,,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0001
rear__0002,rear,0.0,ok,19.98,True,13,90,1153,90,13,13,0,0,actions.jsonl,0,0,0,0,2,False,2,2,2,8.0,2,0.4427,,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0002
rear__0003,rear,0.0,ok,19.97,True,10,93,928,93,10,10,0,0,actions.jsonl,0,0,0,0,1,False,1,1,1,8.0,1,0.498,,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0003
rear__0004,rear,0.0,ok,20.05,True,11,91,987,91,17,17,0,0,actions.jsonl,0,0,0,0,1,False,1,1,1,8.0,1,0.5049,,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0004
teacher__0001,teacher,0.0,ok,12.07,True,0,0,0,0,0,0,0,0,actions.jsonl,10,21,0,0,1,False,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;align_no_candidates,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0001
teacher__0002,teacher,0.0,ok,2.55,True,4,454,1160,454,10,10,0,0,actions.jsonl,80,138,0,0,10,False,10,10,10,3.7,10,0.4785,,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0002
teacher__0003,teacher,0.0,ok,2.52,True,5,1465,3786,1465,44,44,0,0,actions.jsonl,237,522,0,0,10,False,10,10,10,5.2,10,0.4509,,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0003
teacher__0004,teacher,0.0,ok,2.58,True,4,377,1167,377,9,9,0,0,actions.jsonl,74,141,0,0,4,False,4,4,4,4.0,4,0.5097,,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004
top1__0001,top1,0.0,ok,2.54,True,13,93,1209,93,13,13,0,0,actions.jsonl,19,170,0,0,2,False,2,2,2,8.0,2,0.4565,,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0001
top1__0002,top1,0.0,ok,2.59,True,14,383,4831,383,31,31,0,0,actions.jsonl,77,718,0,0,7,False,7,7,7,8.0,7,0.4819,,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0002
top1__0003,top1,0.0,ok,2.5,True,14,451,6024,451,17,17,0,0,actions.jsonl,91,670,0,0,11,False,11,11,11,8.0,11,0.4822,,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0003
top1__0004,top1,0.0,ok,2.55,True,14,91,1274,91,14,14,0,0,actions.jsonl,19,162,0,0,1,False,1,1,1,8.0,1,0.4855,,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0004
top2__250184,top2,0.0,ok,2.51,True,13,761,8121,761,50,50,0,0,actions.jsonl,153,2005,0,0,17,False,17,17,17,8.0,17,0.4898,,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250184
top2__250286,top2,0.0,ok,2.52,True,12,120,1430,120,13,13,0,0,actions.jsonl,24,252,0,0,2,False,2,2,2,8.0,2,0.6714,,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250286
top2__250388,top2,0.0,ok,2.56,True,12,152,1775,152,14,14,0,0,actions.jsonl,31,318,0,0,1,False,1,1,1,8.0,1,0.4982,,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250388
top2__250489,top2,0.0,ok,2.54,True,14,168,2317,168,23,23,0,0,actions.jsonl,34,541,0,0,2,False,2,2,2,8.0,2,0.4836,,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250489
