view_code,case_id,case_dir,transcript_jsonl,event_queries_jsonl,align_multimodal_json,verified_events_jsonl,actions_jsonl,pose_tracks_smooth_uq_jsonl,timeline_chart_png,timeline_chart_json,pipeline_manifest_json,overlay_behavior_video,missing_core_count
front,front__001,output/智慧课堂学生行为数据集/real_pilot/front/front__001,1,1,1,1,1,1,1,1,1,0,0
front,front__002,output/智慧课堂学生行为数据集/real_pilot/front/front__002,1,1,1,1,1,1,1,1,1,0,0
front,front__003,output/智慧课堂学生行为数据集/real_pilot/front/front__003,1,1,1,1,1,1,1,1,1,0,0
front,front__004,output/智慧课堂学生行为数据集/real_pilot/front/front__004,1,1,1,1,1,1,1,1,1,0,0
rear,rear__0001,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0001,1,1,1,1,1,1,1,1,1,0,0
rear,rear__0002,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0002,1,1,1,1,1,1,1,1,1,0,0
rear,rear__0003,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0003,1,1,1,1,1,1,1,1,1,0,0
rear,rear__0004,output/智慧课堂学生行为数据集/real_pilot/rear/rear__0004,1,1,1,1,1,1,1,1,1,0,0
teacher,teacher__0001,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0001,1,1,1,1,1,1,1,1,1,0,0
teacher,teacher__0002,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0002,1,1,1,1,1,1,1,1,1,0,0
teacher,teacher__0003,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0003,1,1,1,1,1,1,1,1,1,0,0
teacher,teacher__0004,output/智慧课堂学生行为数据集/real_pilot/teacher/teacher__0004,1,1,1,1,1,1,1,1,1,0,0
top1,top1__0001,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0001,1,1,1,1,1,1,1,1,1,0,0
top1,top1__0002,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0002,1,1,1,1,1,1,1,1,1,0,0
top1,top1__0003,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0003,1,1,1,1,1,1,1,1,1,0,0
top1,top1__0004,output/智慧课堂学生行为数据集/real_pilot/top1/top1__0004,1,1,1,1,1,1,1,1,1,0,0
top2,top2__250184,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250184,1,1,1,1,1,1,1,1,1,0,0
top2,top2__250286,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250286,1,1,1,1,1,1,1,1,1,0,0
top2,top2__250388,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250388,1,1,1,1,1,1,1,1,1,0,0
top2,top2__250489,output/智慧课堂学生行为数据集/real_pilot/top2/top2__250489,1,1,1,1,1,1,1,1,1,0,0
