backend,case_id,view_code,duration_sec,returncode,elapsed_sec,transcript_segments,transcript_non_empty,placeholder,source,transcript_path,log_path
whisper,front__090,front,3.333,0,15.39,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/front/front__090/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_01_front__090.log
whisper,front__177,front,1.5,0,15.4,2,2,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/front/front__177/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_02_front__177.log
whisper,front__23081,front,25.533,0,21.13,11,11,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/front/front__23081/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_03_front__23081.log
whisper,front__28646,front,3.2,0,14.58,2,2,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/front/front__28646/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_04_front__28646.log
whisper,front__35288,front,2.04,0,14.22,1,1,1,asr_placeholder,output/asr_ablation/random6_medium_cpu/whisper/front/front__35288/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_05_front__35288.log
whisper,front__50138,front,4.4,0,14.43,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/front/front__50138/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_06_front__50138.log
whisper,rear__0499,rear,2.8,0,14.2,1,1,1,asr_placeholder,output/asr_ablation/random6_medium_cpu/whisper/rear/rear__0499/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_07_rear__0499.log
whisper,rear__154721,rear,3.067,0,15.25,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/rear/rear__154721/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_08_rear__154721.log
whisper,rear__258208,rear,20.233,0,15.59,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/rear/rear__258208/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_09_rear__258208.log
whisper,rear__282888,rear,11.96,0,19.16,2,2,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/rear/rear__282888/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_10_rear__282888.log
whisper,rear__423312,rear,3.0,0,13.02,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/rear/rear__423312/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_11_rear__423312.log
whisper,rear__443773,rear,7.96,0,13.31,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/rear/rear__443773/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_12_rear__443773.log
whisper,teacher__0247,teacher,11.067,0,14.53,2,2,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/teacher/teacher__0247/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_13_teacher__0247.log
whisper,teacher__0522,teacher,97.767,0,40.45,35,35,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/teacher/teacher__0522/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_14_teacher__0522.log
whisper,teacher__0538,teacher,2.167,0,15.99,1,1,1,asr_placeholder,output/asr_ablation/random6_medium_cpu/whisper/teacher/teacher__0538/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_15_teacher__0538.log
whisper,teacher__0642,teacher,5.4,0,14.21,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/teacher/teacher__0642/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_16_teacher__0642.log
whisper,teacher__240102,teacher,9.9,0,13.27,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/teacher/teacher__240102/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_17_teacher__240102.log
whisper,teacher__248311,teacher,12.933,0,33.12,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/teacher/teacher__248311/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_18_teacher__248311.log
whisper,top1__0706,top1,3.0,0,13.52,1,1,1,asr_placeholder,output/asr_ablation/random6_medium_cpu/whisper/top1/top1__0706/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_19_top1__0706.log
whisper,top1__0968,top1,3.8,0,12.79,1,1,1,asr_placeholder,output/asr_ablation/random6_medium_cpu/whisper/top1/top1__0968/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_20_top1__0968.log
whisper,top1__108017,top1,1.967,0,12.84,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top1/top1__108017/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_21_top1__108017.log
whisper,top1__176021,top1,13.9,0,15.49,7,7,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top1/top1__176021/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_22_top1__176021.log
whisper,top1__192217,top1,9.376,0,14.15,5,5,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top1/top1__192217/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_23_top1__192217.log
whisper,top1__233772,top1,56.467,0,33.48,16,16,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top1/top1__233772/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_24_top1__233772.log
whisper,top2__263180,top2,0.867,0,12.9,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top2/top2__263180/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_25_top2__263180.log
whisper,top2__336479,top2,3.333,0,13.12,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top2/top2__336479/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_26_top2__336479.log
whisper,top2__376502,top2,10.933,0,15.08,3,3,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top2/top2__376502/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_27_top2__376502.log
whisper,top2__396146,top2,10.733,0,14.04,2,2,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top2/top2__396146/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_28_top2__396146.log
whisper,top2__443363,top2,3.333,0,13.02,1,1,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top2/top2__443363/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_29_top2__443363.log
whisper,top2__445703,top2,36.633,0,24.15,10,10,0,whisper:medium,output/asr_ablation/random6_medium_cpu/whisper/top2/top2__445703/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_medium_cpu/whisper_30_top2__445703.log
