backend,case_id,view_code,duration_sec,returncode,elapsed_sec,transcript_segments,transcript_non_empty,placeholder,source,transcript_path,log_path
whisper,front__090,front,3.333,1,6.84,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/front/front__090/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_01_front__090.log
whisper,front__177,front,1.5,1,6.6,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/front/front__177/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_02_front__177.log
whisper,front__23081,front,25.533,1,6.53,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/front/front__23081/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_03_front__23081.log
whisper,front__28646,front,3.2,1,6.79,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/front/front__28646/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_04_front__28646.log
whisper,front__35288,front,2.04,1,6.97,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/front/front__35288/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_05_front__35288.log
whisper,front__50138,front,4.4,1,7.3,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/front/front__50138/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_06_front__50138.log
whisper,rear__0499,rear,2.8,1,7.05,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/rear/rear__0499/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_07_rear__0499.log
whisper,rear__154721,rear,3.067,1,7.61,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/rear/rear__154721/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_08_rear__154721.log
whisper,rear__258208,rear,20.233,1,6.8,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/rear/rear__258208/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_09_rear__258208.log
whisper,rear__282888,rear,11.96,1,6.56,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/rear/rear__282888/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_10_rear__282888.log
whisper,rear__423312,rear,3.0,1,6.6,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/rear/rear__423312/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_11_rear__423312.log
whisper,rear__443773,rear,7.96,1,6.71,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/rear/rear__443773/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_12_rear__443773.log
whisper,teacher__0247,teacher,11.067,1,6.69,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/teacher/teacher__0247/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_13_teacher__0247.log
whisper,teacher__0522,teacher,97.767,1,6.63,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/teacher/teacher__0522/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_14_teacher__0522.log
whisper,teacher__0538,teacher,2.167,1,6.67,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/teacher/teacher__0538/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_15_teacher__0538.log
whisper,teacher__0642,teacher,5.4,1,6.86,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/teacher/teacher__0642/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_16_teacher__0642.log
whisper,teacher__240102,teacher,9.9,1,6.84,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/teacher/teacher__240102/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_17_teacher__240102.log
whisper,teacher__248311,teacher,12.933,1,7.29,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/teacher/teacher__248311/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_18_teacher__248311.log
whisper,top1__0706,top1,3.0,1,7.5,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top1/top1__0706/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_19_top1__0706.log
whisper,top1__0968,top1,3.8,1,7.67,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top1/top1__0968/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_20_top1__0968.log
whisper,top1__108017,top1,1.967,1,6.92,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top1/top1__108017/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_21_top1__108017.log
whisper,top1__176021,top1,13.9,1,6.92,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top1/top1__176021/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_22_top1__176021.log
whisper,top1__192217,top1,9.376,1,6.82,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top1/top1__192217/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_23_top1__192217.log
whisper,top1__233772,top1,56.467,1,7.1,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top1/top1__233772/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_24_top1__233772.log
whisper,top2__263180,top2,0.867,1,6.95,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top2/top2__263180/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_25_top2__263180.log
whisper,top2__336479,top2,3.333,1,7.52,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top2/top2__336479/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_26_top2__336479.log
whisper,top2__376502,top2,10.933,1,6.51,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top2/top2__376502/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_27_top2__376502.log
whisper,top2__396146,top2,10.733,1,6.55,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top2/top2__396146/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_28_top2__396146.log
whisper,top2__443363,top2,3.333,1,6.65,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top2/top2__443363/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_29_top2__443363.log
whisper,top2__445703,top2,36.633,1,8.21,0,0,0,,output/asr_ablation/random6_small_cuda/whisper/top2/top2__445703/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda/whisper_30_top2__445703.log
