backend,case_id,view_code,duration_sec,returncode,elapsed_sec,transcript_segments,transcript_non_empty,placeholder,source,transcript_path,log_path,attempt_count,recovery_action,final_device,final_compute_type
whisper,front__090,front,3.333,0,6.34,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/front/front__090/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_01_front__090.attempt1.log,1,none,cuda,float16
whisper,front__177,front,1.5,0,6.31,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/front/front__177/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_02_front__177.attempt1.log,1,none,cuda,float16
whisper,front__23081,front,25.533,0,6.95,10,10,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/front/front__23081/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_03_front__23081.attempt1.log,1,none,cuda,float16
whisper,front__28646,front,3.2,0,6.39,2,2,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/front/front__28646/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_04_front__28646.attempt1.log,1,none,cuda,float16
whisper,front__35288,front,2.04,0,6.34,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/front/front__35288/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_05_front__35288.attempt1.log,1,none,cuda,float16
whisper,front__50138,front,4.4,0,6.3,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/front/front__50138/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_06_front__50138.attempt1.log,1,none,cuda,float16
whisper,rear__0499,rear,2.8,0,6.3,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/rear/rear__0499/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_07_rear__0499.attempt1.log,1,none,cuda,float16
whisper,rear__154721,rear,3.067,0,6.41,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/rear/rear__154721/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_08_rear__154721.attempt1.log,1,none,cuda,float16
whisper,rear__258208,rear,20.233,0,33.72,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/rear/rear__258208/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_09_rear__258208.attempt1.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_09_rear__258208.attempt2_retry_compute.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_09_rear__258208.attempt3_fallback_device.log,3,fallback_cpu,cpu,int8
whisper,rear__282888,rear,11.96,0,6.44,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/rear/rear__282888/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_10_rear__282888.attempt1.log,1,none,cuda,float16
whisper,rear__423312,rear,3.0,0,6.21,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/rear/rear__423312/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_11_rear__423312.attempt1.log,1,none,cuda,float16
whisper,rear__443773,rear,7.96,0,6.37,2,2,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/rear/rear__443773/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_12_rear__443773.attempt1.log,1,none,cuda,float16
whisper,teacher__0247,teacher,11.067,0,6.5,2,2,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/teacher/teacher__0247/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_13_teacher__0247.attempt1.log,1,none,cuda,float16
whisper,teacher__0522,teacher,97.767,0,8.56,33,33,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/teacher/teacher__0522/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_14_teacher__0522.attempt1.log,1,none,cuda,float16
whisper,teacher__0538,teacher,2.167,0,6.25,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/teacher/teacher__0538/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_15_teacher__0538.attempt1.log,1,none,cuda,float16
whisper,teacher__0642,teacher,5.4,0,6.32,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/teacher/teacher__0642/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_16_teacher__0642.attempt1.log,1,none,cuda,float16
whisper,teacher__240102,teacher,9.9,0,6.22,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/teacher/teacher__240102/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_17_teacher__240102.attempt1.log,1,none,cuda,float16
whisper,teacher__248311,teacher,12.933,0,6.78,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/teacher/teacher__248311/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_18_teacher__248311.attempt1.log,1,none,cuda,float16
whisper,top1__0706,top1,3.0,0,6.88,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top1/top1__0706/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_19_top1__0706.attempt1.log,1,none,cuda,float16
whisper,top1__0968,top1,3.8,0,27.839999999999996,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top1/top1__0968/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_20_top1__0968.attempt1.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_20_top1__0968.attempt2_retry_compute.log;paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_20_top1__0968.attempt3_fallback_device.log,3,fallback_cpu,cpu,int8
whisper,top1__108017,top1,1.967,0,7.08,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top1/top1__108017/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_21_top1__108017.attempt1.log,1,none,cuda,float16
whisper,top1__176021,top1,13.9,0,7.24,5,5,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top1/top1__176021/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_22_top1__176021.attempt1.log,1,none,cuda,float16
whisper,top1__192217,top1,9.376,0,7.13,5,5,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top1/top1__192217/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_23_top1__192217.attempt1.log,1,none,cuda,float16
whisper,top1__233772,top1,56.467,0,8.72,18,18,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top1/top1__233772/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_24_top1__233772.attempt1.log,1,none,cuda,float16
whisper,top2__263180,top2,0.867,0,6.58,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top2/top2__263180/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_25_top2__263180.attempt1.log,1,none,cuda,float16
whisper,top2__336479,top2,3.333,0,6.68,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top2/top2__336479/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_26_top2__336479.attempt1.log,1,none,cuda,float16
whisper,top2__376502,top2,10.933,0,7.31,10,10,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top2/top2__376502/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_27_top2__376502.attempt1.log,1,none,cuda,float16
whisper,top2__396146,top2,10.733,0,6.84,2,2,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top2/top2__396146/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_28_top2__396146.attempt1.log,1,none,cuda,float16
whisper,top2__443363,top2,3.333,0,6.66,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top2/top2__443363/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_29_top2__443363.attempt1.log,1,none,cuda,float16
whisper,top2__445703,top2,36.633,0,7.8,11,11,0,whisper:small,output/asr_ablation/random6_small_cuda_hybrid_recover/whisper/top2/top2__445703/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_hybrid_recover/whisper_30_top2__445703.attempt1.log,1,none,cuda,float16
