backend,case_id,view_code,duration_sec,returncode,elapsed_sec,transcript_segments,transcript_non_empty,placeholder,source,transcript_path,log_path
whisper,front__090,front,3.333,0,6.66,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/front/front__090/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_01_front__090.log
whisper,front__177,front,1.5,0,6.32,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/front/front__177/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_02_front__177.log
whisper,front__23081,front,25.533,0,6.92,10,10,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/front/front__23081/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_03_front__23081.log
whisper,front__28646,front,3.2,0,6.35,2,2,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/front/front__28646/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_04_front__28646.log
whisper,front__35288,front,2.04,0,6.36,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/front/front__35288/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_05_front__35288.log
whisper,front__50138,front,4.4,0,6.41,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/front/front__50138/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_06_front__50138.log
whisper,rear__0499,rear,2.8,0,6.36,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cuda_retry/whisper/rear/rear__0499/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_07_rear__0499.log
whisper,rear__154721,rear,3.067,0,6.49,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/rear/rear__154721/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_08_rear__154721.log
whisper,rear__258208,rear,20.233,3221226505,11.68,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/rear/rear__258208/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_09_rear__258208.log
whisper,rear__282888,rear,11.96,0,6.57,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/rear/rear__282888/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_10_rear__282888.log
whisper,rear__423312,rear,3.0,0,6.32,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/rear/rear__423312/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_11_rear__423312.log
whisper,rear__443773,rear,7.96,0,6.35,2,2,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/rear/rear__443773/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_12_rear__443773.log
whisper,teacher__0247,teacher,11.067,0,6.54,2,2,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/teacher/teacher__0247/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_13_teacher__0247.log
whisper,teacher__0522,teacher,97.767,0,9.03,33,33,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/teacher/teacher__0522/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_14_teacher__0522.log
whisper,teacher__0538,teacher,2.167,0,6.4,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cuda_retry/whisper/teacher/teacher__0538/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_15_teacher__0538.log
whisper,teacher__0642,teacher,5.4,0,6.38,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/teacher/teacher__0642/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_16_teacher__0642.log
whisper,teacher__240102,teacher,9.9,0,6.39,1,1,0,whisper:small,output/asr_ablation/random6_small_cuda_retry/whisper/teacher/teacher__240102/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cuda_retry/whisper_17_teacher__240102.log
