case_id,view_code,duration_sec,status,elapsed_sec,timeline_chart_exists,pose_track_count,pose_frame_count,pose_person_entries,uq_rows,actions_count,actions_raw_count,actions_behavior_count,actions_behavior_aug_count,actions_used_for_align,objects_rows,objects_det_count,behavior_det_rows,behavior_det_count,transcript_count,transcript_placeholder,event_queries_count,align_events,align_events_with_candidates,align_avg_candidates,verified_count,verified_p_match_mean,attention,output_dir
front__090,front,3.333,failed,5.39,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/front/front__090
front__177,front,1.5,failed,5.22,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/front/front__177
front__23081,front,25.533,failed,5.21,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/front/front__23081
front__28646,front,3.2,failed,5.19,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/front/front__28646
front__35288,front,2.04,failed,5.21,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/front/front__35288
front__50138,front,4.4,failed,5.73,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/front/front__50138
rear__0499,rear,2.8,failed,5.3,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/rear/rear__0499
rear__154721,rear,3.067,failed,5.24,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/rear/rear__154721
rear__258208,rear,20.233,failed,5.16,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/rear/rear__258208
rear__282888,rear,11.96,failed,5.43,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/rear/rear__282888
rear__423312,rear,3.0,failed,5.79,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/rear/rear__423312
rear__443773,rear,7.96,failed,5.74,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/rear/rear__443773
